machine_id,maker,shift,avg_vibration,avg_temp_c,throughput_units,prior_defect_rate,machine_age_years,high_defect
M-03,Brunner,night,4.83,64.9,485.4,0.087,11,1
M-06,Voss,night,3.48,57.1,497.0,0.055,2,0
M-07,Brunner,day,4.68,66.6,519.5,0.101,12,1
M-06,Voss,night,3.33,57.6,558.5,0.053,2,0
M-06,Voss,night,4.22,56.4,525.3,0.087,2,0
M-06,Voss,day,3.59,60.3,505.1,0.074,2,0
M-03,Brunner,day,3.97,67.8,435.9,0.082,11,0
M-06,Voss,day,3.01,57.1,575.5,0.055,2,0
M-08,Hokuto,day,3.57,58.9,498.8,0.045,4,1
M-08,Hokuto,day,3.13,61.6,479.1,0.086,4,0
M-05,Voss,day,3.72,55.6,495.9,0.05,5,0
M-06,Voss,day,2.37,55.8,491.9,0.051,2,0
M-04,Brunner,night,2.93,65.8,525.7,0.069,3,1
M-05,Voss,day,4.0,64.6,458.6,0.063,5,1
M-08,Hokuto,day,3.59,58.3,533.1,0.082,4,0
M-08,Hokuto,day,3.65,58.2,530.4,0.028,4,1
M-01,Hokuto,night,3.93,62.2,555.0,0.128,6,1
M-07,Brunner,night,4.56,68.1,391.7,0.125,12,1
M-01,Hokuto,day,3.78,59.2,466.4,0.11,6,1
M-01,Hokuto,night,3.39,64.0,463.4,0.095,6,1
M-02,Hokuto,day,3.64,60.4,500.0,0.043,4,0
M-01,Hokuto,day,3.49,66.5,523.5,0.044,6,1
M-07,Brunner,day,4.14,63.4,395.5,0.13,12,1
M-02,Hokuto,day,3.7,61.7,488.3,0.047,4,0
M-08,Hokuto,night,3.01,57.0,586.0,0.08,4,0
M-01,Hokuto,night,3.13,62.8,496.0,0.077,6,0
M-07,Brunner,day,4.71,71.2,478.6,0.097,12,1
M-06,Voss,day,3.7,53.6,555.5,0.053,2,0
M-04,Brunner,day,3.23,65.4,430.9,0.073,3,0
M-06,Voss,day,3.07,60.8,498.5,0.059,2,0
M-08,Hokuto,night,3.15,60.3,540.0,0.096,4,1
M-04,Brunner,night,2.24,59.8,473.7,0.063,3,0
M-07,Brunner,night,4.44,70.3,544.5,0.128,12,1
M-03,Brunner,night,4.78,60.8,411.6,0.144,11,1
M-05,Voss,night,3.38,58.1,549.3,0.116,5,1
M-05,Voss,night,3.47,59.5,502.8,0.094,5,0
M-08,Hokuto,day,3.08,65.5,505.5,0.046,4,1
M-02,Hokuto,night,3.02,52.2,467.5,0.058,4,0
M-01,Hokuto,day,3.58,62.2,454.0,0.028,6,0
M-04,Brunner,night,2.71,56.0,464.8,0.134,3,0
M-06,Voss,night,2.67,54.6,550.8,0.104,2,1
M-03,Brunner,day,3.99,68.0,494.1,0.12,11,1
M-07,Brunner,day,4.29,66.6,417.8,0.12,12,1
M-05,Voss,day,2.87,62.4,466.0,0.052,5,0
M-08,Hokuto,day,3.29,56.3,545.1,0.07,4,0
M-02,Hokuto,day,2.75,57.4,438.6,0.066,4,0
M-06,Voss,night,3.98,55.2,502.1,0.077,2,1
M-08,Hokuto,night,2.93,62.6,482.3,0.084,4,1
M-05,Voss,night,4.1,64.2,467.8,0.098,5,1
M-08,Hokuto,day,3.27,62.6,525.8,0.081,4,0
M-06,Voss,night,3.38,56.1,484.7,0.103,2,0
M-04,Brunner,day,4.06,58.8,509.1,0.036,3,0
M-01,Hokuto,day,2.88,55.9,474.7,0.063,6,0
M-05,Voss,day,3.5,62.5,469.7,0.065,5,1
M-08,Hokuto,day,2.6,60.9,543.1,0.058,4,0
M-02,Hokuto,night,3.22,61.7,457.6,0.075,4,1
M-01,Hokuto,day,4.19,60.7,493.9,0.059,6,0
M-06,Voss,night,3.55,60.2,528.4,0.067,2,1
M-04,Brunner,day,4.01,52.9,527.7,0.091,3,0
M-01,Hokuto,day,4.2,57.8,499.8,0.08,6,0
M-05,Voss,day,3.59,64.4,462.8,0.046,5,1
M-04,Brunner,night,3.09,61.0,480.3,0.086,3,1
M-08,Hokuto,night,2.15,57.5,510.6,0.054,4,0
M-02,Hokuto,night,3.39,56.5,531.4,0.09,4,0
M-05,Voss,night,2.55,60.3,527.7,0.092,5,0
M-08,Hokuto,day,4.18,57.6,548.9,0.065,4,0
M-06,Voss,day,3.97,56.4,527.7,0.06,2,1
M-05,Voss,day,3.62,62.0,489.5,0.085,5,0
M-04,Brunner,night,2.91,64.5,504.7,0.081,3,1
M-05,Voss,night,3.16,66.8,529.9,0.099,5,0
M-02,Hokuto,day,2.59,60.6,521.7,0.089,4,0
M-03,Brunner,night,4.71,63.2,470.9,0.121,11,1
M-06,Voss,day,2.37,53.0,523.0,0.035,2,0
M-03,Brunner,night,4.19,68.6,445.1,0.099,11,1
