machine_id,maker,shift,avg_vibration,avg_temp_c,throughput_units,prior_defect_rate,machine_age_years,high_defect
M-03,Brunner,night,4.83,64.9,485.4,0.087,11,0
M-06,Voss,night,3.48,57.1,497.0,0.055,2,1
M-07,Brunner,day,4.68,66.6,519.5,0.101,12,1
M-06,Voss,night,3.33,57.6,558.5,0.053,2,0
M-06,Voss,night,4.22,56.4,525.3,0.087,2,0
M-06,Voss,day,3.59,60.3,505.1,0.074,2,1
M-03,Brunner,day,3.97,67.8,435.9,0.082,11,0
M-06,Voss,day,3.01,57.1,575.5,0.055,2,0
M-08,Hokuto,day,3.57,58.9,498.8,0.045,4,1
M-08,Hokuto,day,3.13,61.6,479.1,0.086,4,0
M-05,Voss,day,3.72,55.6,495.9,0.05,5,0
M-06,Voss,day,2.37,55.8,491.9,0.051,2,0
M-04,Brunner,night,2.93,65.8,525.7,0.069,3,0
M-05,Voss,day,4.0,64.6,458.6,0.063,5,1
M-08,Hokuto,day,3.59,58.3,533.1,0.082,4,1
M-08,Hokuto,day,3.65,58.2,530.4,0.028,4,0
M-01,Hokuto,night,3.93,62.2,555.0,0.128,6,1
M-07,Brunner,night,4.56,68.1,391.7,0.125,12,1
M-01,Hokuto,day,3.78,59.2,466.4,0.11,6,1
M-01,Hokuto,night,3.39,64.0,463.4,0.095,6,0
M-02,Hokuto,day,3.64,60.4,500.0,0.043,4,0
M-01,Hokuto,day,3.49,66.5,523.5,0.044,6,1
M-07,Brunner,day,4.14,63.4,395.5,0.13,12,1
M-02,Hokuto,day,3.7,61.7,488.3,0.047,4,0
M-08,Hokuto,night,3.01,57.0,586.0,0.08,4,0
M-01,Hokuto,night,3.13,62.8,496.0,0.077,6,0
M-07,Brunner,day,4.71,71.2,478.6,0.097,12,0
M-06,Voss,day,3.7,53.6,555.5,0.053,2,0
M-04,Brunner,day,3.23,65.4,430.9,0.073,3,0
M-06,Voss,day,3.07,60.8,498.5,0.059,2,0
M-08,Hokuto,night,3.15,60.3,540.0,0.096,4,1
M-04,Brunner,night,2.24,59.8,473.7,0.063,3,1
M-07,Brunner,night,4.44,70.3,544.5,0.128,12,1
M-03,Brunner,night,4.78,60.8,411.6,0.144,11,1
M-05,Voss,night,3.38,58.1,549.3,0.116,5,0
M-05,Voss,night,3.47,59.5,502.8,0.094,5,0
M-08,Hokuto,day,3.08,65.5,505.5,0.046,4,0
M-02,Hokuto,night,3.02,52.2,467.5,0.058,4,1
M-01,Hokuto,day,3.58,62.2,454.0,0.028,6,0
M-04,Brunner,night,2.71,56.0,464.8,0.134,3,0
M-06,Voss,night,2.67,54.6,550.8,0.104,2,1
M-03,Brunner,day,3.99,68.0,494.1,0.12,11,0
M-07,Brunner,day,4.29,66.6,417.8,0.12,12,1
M-05,Voss,day,2.87,62.4,466.0,0.052,5,0
M-08,Hokuto,day,3.29,56.3,545.1,0.07,4,1
M-02,Hokuto,day,2.75,57.4,438.6,0.066,4,0
M-06,Voss,night,3.98,55.2,502.1,0.077,2,0
M-08,Hokuto,night,2.93,62.6,482.3,0.084,4,0
M-05,Voss,night,4.1,64.2,467.8,0.098,5,0
M-08,Hokuto,day,3.27,62.6,525.8,0.081,4,0
M-06,Voss,night,3.38,56.1,484.7,0.103,2,0
M-04,Brunner,day,4.06,58.8,509.1,0.036,3,0
M-01,Hokuto,day,2.88,55.9,474.7,0.063,6,0
M-05,Voss,day,3.5,62.5,469.7,0.065,5,1
M-08,Hokuto,day,2.6,60.9,543.1,0.058,4,0
M-02,Hokuto,night,3.22,61.7,457.6,0.075,4,1
M-01,Hokuto,day,4.19,60.7,493.9,0.059,6,0
M-06,Voss,night,3.55,60.2,528.4,0.067,2,1
M-04,Brunner,day,4.01,52.9,527.7,0.091,3,0
M-01,Hokuto,day,4.2,57.8,499.8,0.08,6,0
M-05,Voss,day,3.59,64.4,462.8,0.046,5,1
M-04,Brunner,night,3.09,61.0,480.3,0.086,3,0
M-08,Hokuto,night,2.15,57.5,510.6,0.054,4,1
M-02,Hokuto,night,3.39,56.5,531.4,0.09,4,1
M-05,Voss,night,2.55,60.3,527.7,0.092,5,1
M-08,Hokuto,day,4.18,57.6,548.9,0.065,4,0
M-06,Voss,day,3.97,56.4,527.7,0.06,2,0
M-05,Voss,day,3.62,62.0,489.5,0.085,5,0
M-04,Brunner,night,2.91,64.5,504.7,0.081,3,1
M-05,Voss,night,3.16,66.8,529.9,0.099,5,0
M-02,Hokuto,day,2.59,60.6,521.7,0.089,4,1
M-03,Brunner,night,4.71,63.2,470.9,0.121,11,0
M-06,Voss,day,2.37,53.0,523.0,0.035,2,0
M-03,Brunner,night,4.19,68.6,445.1,0.099,11,1
M-08,Hokuto,day,4.04,56.3,480.9,0.08,4,1
M-01,Hokuto,day,3.05,59.4,565.2,0.085,6,1
M-04,Brunner,day,3.44,56.8,522.5,0.054,3,1
M-06,Voss,day,2.46,61.4,472.8,0.037,2,1
M-08,Hokuto,night,3.97,60.6,539.0,0.07,4,0
M-05,Voss,day,2.84,63.4,533.2,0.102,5,1
M-07,Brunner,night,4.85,62.6,488.6,0.089,12,0
M-02,Hokuto,night,3.42,58.7,516.0,0.085,4,1
M-05,Voss,night,2.89,63.1,509.7,0.089,5,1
M-06,Voss,day,2.83,60.5,524.5,0.045,2,0
M-08,Hokuto,night,3.79,67.1,498.7,0.094,4,0
M-05,Voss,night,3.82,64.2,556.7,0.104,5,1
M-04,Brunner,day,2.92,61.9,513.3,0.096,3,0
M-04,Brunner,night,3.27,57.6,487.7,0.076,3,0
M-04,Brunner,night,2.85,60.0,514.2,0.101,3,1
M-01,Hokuto,night,3.58,65.2,477.3,0.099,6,1
M-02,Hokuto,night,2.52,61.2,462.0,0.056,4,0
M-01,Hokuto,day,3.41,64.8,542.3,0.054,6,1
M-06,Voss,day,3.63,57.1,515.8,0.085,2,1
M-05,Voss,night,3.48,61.2,516.3,0.082,5,1
M-03,Brunner,night,3.58,66.9,481.9,0.106,11,0
M-06,Voss,day,2.55,55.9,479.4,0.066,2,0
M-07,Brunner,day,4.48,71.6,506.5,0.114,12,0
M-02,Hokuto,day,4.42,62.1,588.2,0.084,4,1
M-04,Brunner,day,3.31,54.6,564.6,0.087,3,0
M-08,Hokuto,night,3.4,60.5,503.1,0.103,4,1
M-06,Voss,day,3.52,57.0,537.9,0.065,2,0
M-06,Voss,day,2.73,62.3,454.0,0.021,2,0
M-01,Hokuto,night,2.82,57.4,479.5,0.058,6,0
M-06,Voss,night,2.42,57.2,504.8,0.034,2,0
M-08,Hokuto,night,3.88,59.2,465.4,0.111,4,0
M-01,Hokuto,day,2.78,60.3,504.2,0.046,6,0
M-02,Hokuto,day,3.72,61.7,572.1,0.098,4,0
M-05,Voss,day,3.7,60.8,454.7,0.045,5,0
M-02,Hokuto,night,2.92,57.5,425.6,0.114,4,1
M-01,Hokuto,day,3.43,61.9,504.8,0.093,6,1
M-05,Voss,night,3.71,61.5,482.9,0.099,5,1
M-02,Hokuto,night,3.17,60.0,502.3,0.124,4,0
M-07,Brunner,day,4.3,67.9,472.9,0.068,12,1
M-05,Voss,day,4.45,54.3,588.5,0.038,5,0
M-08,Hokuto,night,3.54,64.2,556.7,0.098,4,1
M-04,Brunner,day,3.74,60.1,441.3,0.028,3,1
M-07,Brunner,night,4.17,60.9,495.8,0.1,12,1
M-03,Brunner,night,4.58,63.2,425.8,0.137,11,0
M-07,Brunner,day,4.29,64.5,459.8,0.125,12,1
M-02,Hokuto,day,2.81,70.4,517.4,0.075,4,0
M-02,Hokuto,night,2.57,58.6,566.4,0.104,4,0
M-02,Hokuto,night,3.08,62.6,502.3,0.105,4,0
M-04,Brunner,day,3.28,59.2,473.7,0.036,3,0
M-07,Brunner,night,4.1,70.0,442.7,0.11,12,1
M-03,Brunner,night,3.69,64.0,492.7,0.115,11,1
M-04,Brunner,day,3.71,56.3,554.4,0.028,3,0
M-07,Brunner,night,4.57,70.2,511.2,0.123,12,1
M-06,Voss,day,2.5,55.2,489.1,0.025,2,1
M-07,Brunner,day,4.33,62.1,445.7,0.061,12,1
M-03,Brunner,night,4.67,66.8,512.6,0.092,11,1
M-01,Hokuto,night,3.82,64.3,484.7,0.072,6,1
M-08,Hokuto,day,2.69,65.6,474.7,0.06,4,1
M-07,Brunner,day,4.01,65.1,439.2,0.091,12,1
M-04,Brunner,day,2.77,61.8,423.7,0.055,3,0
M-02,Hokuto,night,2.98,59.8,527.2,0.051,4,1
M-07,Brunner,night,4.34,60.9,514.9,0.103,12,0
M-07,Brunner,night,3.47,64.0,466.2,0.112,12,1
M-06,Voss,day,3.76,58.4,444.7,0.046,2,1
M-05,Voss,day,3.18,57.3,476.2,0.033,5,0
M-02,Hokuto,day,2.37,54.1,549.8,0.049,4,0
M-05,Voss,night,3.59,60.5,398.7,0.061,5,0
M-04,Brunner,day,3.48,60.4,487.6,0.081,3,1
M-01,Hokuto,day,3.29,60.2,468.1,0.061,6,1
M-01,Hokuto,day,2.97,65.6,533.4,0.09,6,0
M-06,Voss,night,3.4,58.5,470.7,0.084,2,1
M-05,Voss,day,3.68,59.0,523.0,0.077,5,1
M-05,Voss,night,3.72,61.6,570.5,0.1,5,1
M-05,Voss,night,2.91,60.5,501.3,0.087,5,1
M-04,Brunner,night,3.18,55.0,573.4,0.098,3,1
M-08,Hokuto,night,3.33,61.1,438.2,0.114,4,0
M-02,Hokuto,night,3.46,55.6,481.4,0.099,4,0
M-08,Hokuto,day,2.99,62.3,399.5,0.033,4,1
M-05,Voss,day,4.12,64.0,484.8,0.05,5,1
M-07,Brunner,day,4.01,65.8,442.7,0.07,12,0
M-04,Brunner,day,3.05,60.6,468.8,0.079,3,0
M-01,Hokuto,night,3.47,65.3,469.8,0.106,6,1
M-08,Hokuto,night,3.0,57.7,506.2,0.089,4,0
M-05,Voss,night,3.7,63.1,441.9,0.078,5,0
M-02,Hokuto,night,3.02,65.1,500.4,0.099,4,1
M-04,Brunner,day,2.89,57.4,522.2,0.061,3,0
M-04,Brunner,day,2.82,55.8,526.7,0.039,3,1
M-02,Hokuto,day,3.61,61.8,509.0,0.068,4,1
M-08,Hokuto,day,3.08,59.7,485.7,0.101,4,0
M-06,Voss,day,3.14,58.7,447.0,0.039,2,1
M-04,Brunner,day,3.42,60.1,600.3,0.064,3,0
M-02,Hokuto,night,2.85,57.1,514.1,0.103,4,0
M-08,Hokuto,day,3.68,64.9,572.4,0.036,4,0
M-04,Brunner,night,3.4,52.5,535.2,0.091,3,1
M-07,Brunner,day,3.67,61.6,463.2,0.113,12,1
M-02,Hokuto,night,2.65,53.7,513.5,0.094,4,0
M-03,Brunner,night,5.15,61.4,451.3,0.107,11,0
M-07,Brunner,night,3.93,71.0,547.2,0.097,12,1
M-07,Brunner,night,5.36,64.9,524.7,0.13,12,1
M-01,Hokuto,night,4.16,60.2,514.6,0.088,6,1
M-05,Voss,night,2.72,60.5,564.5,0.128,5,0
M-05,Voss,night,3.09,57.0,477.8,0.08,5,1
M-03,Brunner,day,3.89,65.9,499.8,0.121,11,1
M-02,Hokuto,day,4.24,64.1,532.7,0.047,4,0
M-06,Voss,night,2.31,59.9,526.0,0.084,2,1
